address,price,beds,bath,size,place
6316 Edsel Dr,"$849,900",4 Beds,4 Baths,"2,443 Sq. Ft.","Nashville, TN, 37209"
2413 Solomon Ln,"$488,000",4 Beds,3 Baths,"2,080 Sq. Ft.","Nashville, TN, 37207"
1030 Hammack Ct,"$310,000",3 Beds,2 Baths,"1,724 Sq. Ft.","Nashville, TN, 37214"
106 Douglas Ave,"$799,000",3 Beds,4 Baths,"2,474 Sq. Ft.","Nashville, TN, 37207"
501 Summit St,"$875,000",4 Beds,4 Baths,"2,644 Sq. Ft.","Nashville, TN, 37209"
608 Annex Ave,"$6,200,000",Studio,"19,568 Sq. Ft.",,"Nashville, TN, 37209"
501 Rural Hill Rd,"$379,900",3 Beds,2 Baths,"1,750 Sq. Ft.","Nashville, TN, 37217"
105 Autumn Leaves Ln,"$771,000",4 Beds,3 Baths,"3,993 Sq. Ft.","Nashville, TN, 37221"
949 Plateau Pkwy,"$849,900",4 Beds,3 Baths,"2,252 Sq. Ft.","Nashville, TN, 37205"
6620 Holt Rd,"$1,100,000",3 Beds,3 Baths,"3,564 Sq. Ft.","Nashville, TN, 37211"
1612 Alayna Dr,"$650,000",4 Beds,3 Baths,"2,804 Sq. Ft.","Nashville, TN, 37221"
3048 Whitland Crossing Dr,"$380,000",3 Beds,2 Baths,"1,740 Sq. Ft.","Nashville, TN, 37214"
909 Beechmont Pl # B,"$900,000",4 Beds,4 Baths,"2,604 Sq. Ft.","Nashville, TN, 37206"
110 The Commons Dr,"$1,800,000",3 Beds,4 Baths,"4,867 Sq. Ft.","Nashville, TN, 37215"
2028 Sunset Hills Ter,"$3,390,000",4 Beds,6 Baths,"7,461 Sq. Ft.","Nashville, TN, 37215"
6712 Cold Stream Dr,"$525,000",4 Beds,3 Baths,"2,320 Sq. Ft.","Nashville, TN, 37221"
413 35th Ave N A,"$1,036,000",4 Beds,4 Baths,"2,488 Sq. Ft.","Nashville, TN, 37209"
1309 Davidson St,"$450,000",2 Beds,1 Bath,750 Sq. Ft.,"Nashville, TN, 37206"
700 Revels Dr,"$492,000",4 Beds,3 Baths,"3,023 Sq. Ft.","Nashville, TN, 37207"
2605 Woodberry Dr,"$545,000",4 Beds,3 Baths,"1,927 Sq. Ft.","Nashville, TN, 37214"
5821 Fredricksburg Dr,"$1,295,000",5 Beds,4 Baths,"3,371 Sq. Ft.","Nashville, TN, 37215"
524 Huntington Ridge Dr,"$375,000",3 Beds,3 Baths,"2,288 Sq. Ft.","Nashville, TN, 37211"
775 Newberry Rd,"$2,795,000",5 Beds,6 Baths,"5,710 Sq. Ft.","Nashville, TN, 37205"
7060 Bridgeport Drive,"$650,000",4 Beds,4 Baths,"2,274 Sq. Ft.","Nashville, TN, 37221"
512 Fairfax Ave,"$3,600,000",6 Beds,8 Baths,"7,167 Sq. Ft.","Nashville, TN, 37212"
1423 Shelton Ave,"$799,000",4 Beds,2 Baths,"2,177 Sq. Ft.","Nashville, TN, 37216"
128 Sequoyah Ln,"$564,900",3 Beds,3 Baths,"2,228 Sq. Ft.","Nashville, TN, 37221"
4617 Churchwood Dr,"$1,295,000",2 Beds,2 Baths,"2,576 Sq. Ft.","Nashville, TN, 37220"
487 Oakley Drive,"$1,095,000",5 Beds,3 Baths,"2,716 Sq. Ft.","Nashville, TN, 37220"
913 S 14th St,"$584,900",3 Beds,2 Baths,"1,408 Sq. Ft.","Nashville, TN, 37206"
322 Sylvan Park Ln,"$679,900",3 Beds,3 Baths,"1,676 Sq. Ft.","Nashville, TN, 37209"
538B Moore Ave,"$899,999",3 Beds,3 Baths,"2,151 Sq. Ft.","Nashville, TN, 37203"
