address,price,beds,bath,size,place
441 Caledonian Ct,"$995,000",4 Beds,3 Baths,"3,414 Sq. Ft.","Nashville, TN, 37211"
993 Windrowe Dr,"$599,900",4 Beds,3 Baths,"1,980 Sq. Ft.","Nashville, TN, 37205"
517 Bismark Dr,"$500,000",3 Beds,2 Baths,"1,254 Sq. Ft.","Nashville, TN, 37210"
672B Annex Ave,"$715,000",4 Beds,3 Baths,"2,208 Sq. Ft.","Nashville, TN, 37209"
1707 6th Ave N A,"$799,000",4 Beds,3 Baths,"2,276 Sq. Ft.","Nashville, TN, 37208"
6040 Woodland Hills Dr,"$974,900",7 Beds,6 Baths,"4,678 Sq. Ft.","Nashville, TN, 37211"
1212 Laurel St 1013,"$1,295,000",2 Beds,2 Baths,"1,172 Sq. Ft.","Nashville, TN, 37203"
4810 Merrill Ln,"$598,000",4 Beds,2 Baths,"2,268 Sq. Ft.","Nashville, TN, 37211"
1929 20th Ave,"$1,650,000",4 Beds,4 Baths,"4,669 Sq. Ft.","Nashville, TN, 37212"
1929 20th Ave S,"$1,650,000",4 Beds,4 Baths,"4,669 Sq. Ft.","Nashville, TN, 37212"
1723 Underwood St,"$615,000",4 Beds,3 Baths,"2,216 Sq. Ft.","Nashville, TN, 37208"
3415 West End Ave Apt 1102D,"$255,500",1 Bed,1 Bath,755 Sq. Ft.,"Nashville, TN, 37203"
1319 Lischey Ave,"$1,185,000",5 Beds,4 Baths,"3,565 Sq. Ft.","Nashville, TN, 37207"
107 Stoneway Close,"$713,000",4 Beds,3 Baths,"2,387 Sq. Ft.","Nashville, TN, 37209"
4400 Belmont Park Ter 222,"$688,222",3 Beds,3 Baths,"2,250 Sq. Ft.","Nashville, TN, 37215"
1041 E Trinity Ln 315,"$333,999",1 Bed,1 Bath,816 Sq. Ft.,"Nashville, TN, 37216"
5317 Windypine Dr,"$549,000",5 Beds,4 Baths,"2,943 Sq. Ft.","Nashville, TN, 37211"
814 Dewees Ave B,"$1,699,999",5 Beds,5 Baths,"3,573 Sq. Ft.","Nashville, TN, 37204"
902 Bracken Trl,"$375,000",3 Beds,3 Baths,"1,688 Sq. Ft.","Nashville, TN, 37214"
443A Annex Ave,"$699,900",3 Beds,3 Baths,"2,354 Sq. Ft.","Nashville, TN, 37209"
2905 Harbour View Drive,"$399,500",3 Beds,3 Baths,"2,247 Sq. Ft.","Nashville, TN, 37217"
5416 Anchorage Dr,"$875,000",3 Beds,3 Baths,"2,700 Sq. Ft.","Nashville, TN, 37220"
1510 Demonbreun St Apt 606,"$415,000",1 Bed,1 Bath,854 Sq. Ft.,"Nashville, TN, 37203"
110 31st Ave N 603,"$675,000",2 Beds,2 Baths,"1,845 Sq. Ft.","Nashville, TN, 37203"
2405 Chapman Dr B,"$1,059,000",5 Beds,4 Baths,"2,731 Sq. Ft.","Nashville, TN, 37206"
1613B Glen Echo Rd,"$1,149,990",3 Beds,4 Baths,"3,107 Sq. Ft.","Nashville, TN, 37215"
309 Lutie St,"$615,000",3 Beds,3 Baths,"2,168 Sq. Ft.","Nashville, TN, 37210"
9 Middleton Park Lane,"$1,998,800",5 Beds,6 Baths,"5,422 Sq. Ft.","Nashville, TN, 37215"
818 Neartop Dr,"$775,000",3 Beds,2 Baths,"2,234 Sq. Ft.","Nashville, TN, 37205"
1732 Pecan St A,"$525,000",3 Beds,3 Baths,"1,598 Sq. Ft.","Nashville, TN, 37208"
415 Hill Rd,"$420,000",4 Beds,3 Baths,"2,172 Sq. Ft.","Nashville, TN, 37220"
5406 Burgess Ave,"$374,900",2 Beds,1 Bath,800 Sq. Ft.,"Nashville, TN, 37209"
3208A Resha Ln,"$799,999",4 Beds,3 Baths,"2,363 Sq. Ft.","Nashville, TN, 37218"
2420 Solomon Ln,"$450,000",4 Beds,3 Baths,"1,680 Sq. Ft.","Nashville, TN, 37207"
615 Old Hickory Blvd 630,"$400,990",2 Beds,3 Baths,"1,209 Sq. Ft.","Nashville, TN, 37209"
2519 Clifton Ave 202,"$425,000",1 Bed,1 Bath,665 Sq. Ft.,"Nashville, TN, 37209"
110 31st Ave,"$775,000",2 Beds,2 Baths,"1,889 Sq. Ft.","Nashville, TN, 37203"
4231 Franklin Pike,"$10,900,000",6 Beds,7 Baths,"8,700 Sq. Ft.","Nashville, TN, 37204"
1256 McAlpine Ave,"$475,000",3 Beds,2 Baths,"1,197 Sq. Ft.","Nashville, TN, 37216"
110 31st Ave N 604,"$775,000",2 Beds,2 Baths,"1,889 Sq. Ft.","Nashville, TN, 37203"
1041 E Trinity Ln 301,"$349,900",1 Bed,1 Bath,770 Sq. Ft.,"Nashville, TN, 37216"
3851 Saunders Ave,"$475,000",3 Beds,1 Bath,"1,540 Sq. Ft.","Nashville, TN, 37216"
6942 Highland Park Dr,"$389,900",3 Beds,3 Baths,"1,884 Sq. Ft.","Nashville, TN, 37205"
2936 Torbett St,"$485,000",Studio,"1,738 Sq. Ft.",,"Nashville, TN, 37209"
2940 Torbett St,"$485,000",Studio,"1,738 Sq. Ft.",,"Nashville, TN, 37209"
442 Thunderbird Ct,"$400,000",4 Beds,2 Baths,"1,838 Sq. Ft.","Nashville, TN, 37209"
5821 Robert E Lee Dr,"$1,300,000",5 Beds,4 Baths,"4,088 Sq. Ft.","Nashville, TN, 37215"
105 Leake Ave 56,"$925,000",3 Beds,3 Baths,"2,719 Sq. Ft.","Nashville, TN, 37205"
3415 West End Ave 1103,"$330,000",2 Beds,2 Baths,"1,103 Sq. Ft.","Nashville, TN, 37203"
1105 Woodbury Falls Ct,"$399,900",2 Beds,4 Baths,"2,009 Sq. Ft.","Nashville, TN, 37221"
3317 Walton Ln,"$619,000",3 Beds,3 Baths,"1,849 Sq. Ft.","Nashville, TN, 37216"
623A James Ave,"$739,900",3 Beds,3 Baths,"1,998 Sq. Ft.","Nashville, TN, 37209"
1824 6th Ave N,"$750,000",3 Beds,3 Baths,"2,128 Sq. Ft.","Nashville, TN, 37208"
3720 Woodmont Ln,"$1,280,000",3 Beds,3 Baths,"2,276 Sq. Ft.","Nashville, TN, 37215"
3612A West End Ave,"$1,995,000",4 Beds,6 Baths,"4,763 Sq. Ft.","Nashville, TN, 37205"
4913 Millerwood Dr,"$685,000",4 Beds,2 Baths,"2,215 Sq. Ft.","Nashville, TN, 37211"
2601 Aspen Dr,"$359,900",3 Beds,2 Baths,"1,293 Sq. Ft.","Nashville, TN, 37208"
220 Porter Village Cir,"$525,000",2 Beds,4 Baths,"1,216 Sq. Ft.","Nashville, TN, 37206"
2926 Glenmeade Dr,"$475,000",4 Beds,4 Baths,"2,031 Sq. Ft.","Nashville, TN, 37216"
2609 Landcrest Ct,"$615,000",4 Beds,5 Baths,"3,102 Sq. Ft.","Nashville, TN, 37213"
991 Davidson Dr,"$520,000",3 Beds,2 Baths,"1,165 Sq. Ft.","Nashville, TN, 37205"
1709 Long Ave A,"$1,049,900",3 Beds,3 Baths,"2,501 Sq. Ft.","Nashville, TN, 37206"
2601 Hillsboro Pike N1,"$290,000",2 Beds,1 Bath,880 Sq. Ft.,"Nashville, TN, 37212"
5025 Inglewood Ct E,"$549,999",3 Beds,2 Baths,"1,600 Sq. Ft.","Nashville, TN, 37216"
2609 Alameda St,"$619,000",4 Beds,3 Baths,"2,100 Sq. Ft.","Nashville, TN, 37208"
105 Leake Ave,"$550,000",2 Beds,2 Baths,"1,518 Sq. Ft.","Nashville, TN, 37205"
652A Vernon Ave,"$884,900",3 Beds,4 Baths,"2,447 Sq. Ft.","Nashville, TN, 37209"
1722 7th Ave N,"$900,000",3 Beds,3 Baths,"1,851 Sq. Ft.","Nashville, TN, 37208"
165 Hicks Rd 11,"$394,900",3 Beds,4 Baths,"2,015 Sq. Ft.","Nashville, TN, 37221"
900 20th Ave S 1212,"$584,900",1 Bed,1 Bath,808 Sq. Ft.,"Nashville, TN, 37212"
224 Joyner Ave,"$425,000",4 Beds,2 Baths,"1,328 Sq. Ft.","Nashville, TN, 37210"
608 Annex Ave A,"$769,900",4 Beds,4 Baths,"2,446 Sq. Ft.","Nashville, TN, 37209"
937 W Greenwood Ave,"$360,000",6 Beds,3 Baths,"1,482 Sq. Ft.","Nashville, TN, 37206"
2900 Primrose Cir,"$1,083,390",3 Beds,3 Baths,"2,211 Sq. Ft.","Nashville, TN, 37212"
224 Stonecrest Circle 122,"$589,900",2 Beds,4 Baths,"2,017 Sq. Ft.","Nashville, TN, 37209"
6357 Alamo Pl,"$499,000",3 Beds,2 Baths,"2,590 Sq. Ft.","Nashville, TN, 37209"
217 2nd Ave N,"$8,500,000",2 Beds,6 Baths,"9,217 Sq. Ft.","Nashville, TN, 37201"
5045 N Hilson Dr,"$509,900",4 Beds,2 Baths,"1,625 Sq. Ft.","Nashville, TN, 37211"
1225 McAlpine Ave,"$715,000",4 Beds,3 Baths,"2,060 Sq. Ft.","Nashville, TN, 37216"
510 Basswood Ave 11,"$279,900",2 Beds,2 Baths,"1,170 Sq. Ft.","Nashville, TN, 37209"
3947 Crouch Dr,"$299,900",3 Beds,1 Bath,"1,100 Sq. Ft.","Nashville, TN, 37207"
806 Olympic St 306,"$515,000",1 Bed,1 Bath,969 Sq. Ft.,"Nashville, TN, 37203"
1012 Douglas Ave,"$499,000",3 Beds,3 Baths,"1,982 Sq. Ft.","Nashville, TN, 37206"
4225 Longfellow Dr,"$479,718",3 Beds,3 Baths,"1,910 Sq. Ft.","Nashville, TN, 37214"
2236 Lindell Ave,"$1,100,000",4 Beds,3 Baths,"2,750 Sq. Ft.","Nashville, TN, 37204"
835 Russleo Dr,"$618,000",3 Beds,2 Baths,"1,524 Sq. Ft.","Nashville, TN, 37209"
914 Thomas Ave,"$469,900",2 Beds,1 Bath,871 Sq. Ft.,"Nashville, TN, 37216"
119 Acklen Park Dr 103,"$929,900",3 Beds,3 Baths,"1,625 Sq. Ft.","Nashville, TN, 37203"
1616 West End Ave 2704,"$1,450,000",2 Beds,3 Baths,"1,412 Sq. Ft.","Nashville, TN, 37203"
42 E Thompson Ln,"$479,000",3 Beds,2 Baths,"2,305 Sq. Ft.","Nashville, TN, 37211"
987 Windrowe Dr,"$725,000",3 Beds,3 Baths,"2,077 Sq. Ft.","Nashville, TN, 37205"
3116 Cloverwood Dr,"$450,000",3 Beds,2 Baths,"1,640 Sq. Ft.","Nashville, TN, 37214"
515 Basswood Ave 108,"$212,333",1 Bed,1 Bath,703 Sq. Ft.,"Nashville, TN, 37209"
6107 Hill Cir,"$1,424,500",4 Beds,5 Baths,"3,442 Sq. Ft.","Nashville, TN, 37209"
1815 4th Ave N,"$1,399,000",4 Beds,4 Baths,"3,940 Sq. Ft.","Nashville, TN, 37208"
4849 Lynn Dr,"$559,999",3 Beds,2 Baths,"1,408 Sq. Ft.","Nashville, TN, 37211"
199 53rd Ave N,"$704,900",2 Beds,1 Bath,750 Sq. Ft.,"Nashville, TN, 37209"
818 2nd St N,"$591,000",3 Beds,3 Baths,"1,556 Sq. Ft.","Nashville, TN, 37207"
833 Rose Park Dr,"$589,000",3 Beds,2 Baths,"2,240 Sq. Ft.","Nashville, TN, 37206"
1220 Alfred Dr,"$679,900",3 Beds,2 Baths,"1,799 Sq. Ft.","Nashville, TN, 37205"
1127 McChesney Ave,"$925,000",3 Beds,2 Baths,"2,030 Sq. Ft.","Nashville, TN, 37216"
938A Spain Ave,"$585,000",3 Beds,3 Baths,"1,830 Sq. Ft.","Nashville, TN, 37216"
3244 Cloverwood Dr,"$362,000",3 Beds,2 Baths,"1,125 Sq. Ft.","Nashville, TN, 37214"
904 S 13th St,"$1,399,000",4 Beds,4 Baths,"3,042 Sq. Ft.","Nashville, TN, 37206"
808 31st Ave N,"$499,000",Studio,"1,440 Sq. Ft.",,"Nashville, TN, 37209"
3210 Orleans Dr 1,"$265,000",2 Beds,1 Bath,840 Sq. Ft.,"Nashville, TN, 37212"
1817 Tyne Blvd,"$5,990,000",3 Beds,5 Baths,"5,810 Sq. Ft.","Nashville, TN, 37215"
839B Dewees Ave,"$1,100,000",4 Beds,4 Baths,"2,373 Sq. Ft.","Nashville, TN, 37204"
118 Cedar Place Bend,"$539,400",3 Beds,3 Baths,"2,627 Sq. Ft.","Nashville, TN, 37221"
1820A 16th Ave N,"$515,000",3 Beds,3 Baths,"1,827 Sq. Ft.","Nashville, TN, 37208"
34 Shepard St,"$564,900",3 Beds,2 Baths,"1,396 Sq. Ft.","Nashville, TN, 37210"
510 Basswood Ave #8,"$259,900",2 Beds,2 Baths,"1,200 Sq. Ft.","Nashville, TN, 37209"
916A 15th Ave S,"$1,275,000",4 Beds,4 Baths,"2,816 Sq. Ft.","Nashville, TN, 37212"
65 Lindsley Ave 210,"$594,500",1 Bed,1 Bath,585 Sq. Ft.,"Nashville, TN, 37210"
555 Church St 2306,"$2,800,000",3 Beds,4 Baths,"3,077 Sq. Ft.","Nashville, TN, 37219"
1104 Greenland Ave,"$1,600,000",Studio,"5,040 Sq. Ft.",,"Nashville, TN, 37216"
3313 Niagara Dr,"$349,900",3 Beds,2 Baths,"1,230 Sq. Ft.","Nashville, TN, 37214"
924 N 6th St,"$599,000",3 Beds,2 Baths,"1,464 Sq. Ft.","Nashville, TN, 37207"
1806 6th Ave N,"$1,599,900",4 Beds,5 Baths,"2,847 Sq. Ft.","Nashville, TN, 37208"
1804 6th Ave N,"$1,599,900",4 Beds,5 Baths,"2,908 Sq. Ft.","Nashville, TN, 37208"
1421 Porter Rd 3,"$665,000",3 Beds,3 Baths,"2,059 Sq. Ft.","Nashville, TN, 37206"
1085 Zophi St,"$575,000",4 Beds,2 Baths,"3,658 Sq. Ft.","Nashville, TN, 37216"
1504 Grandview Dr,"$1,565,000",5 Beds,4 Baths,"3,475 Sq. Ft.","Nashville, TN, 37215"
2909 Glenmeade Dr,"$898,000",4 Beds,3 Baths,"3,092 Sq. Ft.","Nashville, TN, 37216"
837 Vibe Pl,"$800,000",3 Beds,3 Baths,"1,527 Sq. Ft.","Nashville, TN, 37216"
1206 63rd Ave N,"$619,900",3 Beds,3 Baths,"2,099 Sq. Ft.","Nashville, TN, 37209"
4256 Jamesborough Pl,"$1,085,000",3 Beds,3 Baths,"3,185 Sq. Ft.","Nashville, TN, 37215"
1050 E Trinity Ln 1,"$775,000",3 Beds,3 Baths,"1,540 Sq. Ft.","Nashville, TN, 37216"
1306 Lone Oak Cir,"$3,350,000",5 Beds,7 Baths,"6,283 Sq. Ft.","Nashville, TN, 37215"
1018 Petway Ave,"$633,000",2 Beds,3 Baths,"1,392 Sq. Ft.","Nashville, TN, 37206"
1225 4th Avenue South,"$499,950",2 Beds,2 Baths,"1,310 Sq. Ft.","Nashville, TN, 37210"
7307 Althorp Way,"$369,900",2 Beds,3 Baths,"1,368 Sq. Ft.","Nashville, TN, 37211"
815 Westview Avenue,"$3,799,000",4 Beds,5 Baths,"4,558 Sq. Ft.","Nashville, TN, 37205"
841 Battlefield Dr A,"$1,599,000",4 Beds,4 Baths,"3,180 Sq. Ft.","Nashville, TN, 37204"
1143 Battery Ln,"$2,690,000",3 Beds,4 Baths,"4,166 Sq. Ft.","Nashville, TN, 37220"
1120A Woodvale Drive,"$1,070,000",3 Beds,3 Baths,"2,690 Sq. Ft.","Nashville, TN, 37204"
1121 Granny White Ct,"$4,299,000",5 Beds,7 Baths,"6,681 Sq. Ft.","Nashville, TN, 37204"
1412 Meharry Blvd B,"$599,900",4 Beds,4 Baths,"2,028 Sq. Ft.","Nashville, TN, 37208"
301 Demonbreun St 1806,"$615,000",1 Bed,1 Bath,837 Sq. Ft.,"Nashville, TN, 37201"
2826 Woodlawn Dr,"$529,900",2 Beds,3 Baths,"1,552 Sq. Ft.","Nashville, TN, 37215"
770 Harpeth Trace Dr,"$499,900",2 Beds,2 Baths,"1,436 Sq. Ft.","Nashville, TN, 37221"
1300 Harding Pl,"$4,199,923",5 Beds,8 Baths,"6,899 Sq. Ft.","Nashville, TN, 37215"
2004 Rivercliff Dr,"$1,500,000",0 Acres,,,"Nashville, TN, 37218"
2118B Natchez Trce,"$950,000",4 Beds,3 Baths,"2,652 Sq. Ft.","Nashville, TN, 37212"
3104 Trevor St,"$1,199,000",3 Beds,4 Baths,"3,113 Sq. Ft.","Nashville, TN, 37209"
1435 Tyne Blvd,"$2,900,000",5 Beds,6 Baths,"5,438 Sq. Ft.","Nashville, TN, 37215"
3315 Nevada Ave,"$1,650,000",4 Beds,4 Baths,"3,031 Sq. Ft.","Nashville, TN, 37209"
340 Ladybird Dr,"$399,000",4 Beds,2 Baths,"1,450 Sq. Ft.","Nashville, TN, 37217"
6012 Hill Cir A,"$1,995,000",5 Beds,5 Baths,"3,803 Sq. Ft.","Nashville, TN, 37209"
1811B Martin St,"$1,199,000",3 Beds,4 Baths,"2,209 Sq. Ft.","Nashville, TN, 37203"
278 Blackpool Dr,"$583,000",4 Beds,3 Baths,"2,681 Sq. Ft.","Nashville, TN, 37211"
2912A Lee Davis Rd,"$649,000",3 Beds,3 Baths,"2,150 Sq. Ft.","Nashville, TN, 37216"
5350 Hillsboro Pike,"$4,250,000",4 Beds,4 Baths,"5,005 Sq. Ft.","Nashville, TN, 37215"
201 Rolling Fork Ct,"$1,799,000",3 Beds,3 Baths,"3,090 Sq. Ft.","Nashville, TN, 37205"
1809 7th Ave N,"$839,650",3 Beds,4 Baths,"2,399 Sq. Ft.","Nashville, TN, 37208"
257 Blackman Rd,"$599,900",Studio,"2,835 Sq. Ft.",,"Nashville, TN, 37211"
2009 Castleman Dr,"$2,100,000",5 Beds,4 Baths,"3,995 Sq. Ft.","Nashville, TN, 37215"
600 12th Ave S Apt 1904,"$629,000",1 Bed,1 Bath,867 Sq. Ft.,"Nashville, TN, 37203"
313 Becanni Lane,"$699,900",3 Beds,4 Baths,"1,920 Sq. Ft.","Nashville, TN, 37209"
2610 Meharry Blvd A,"$675,000",3 Beds,3 Baths,"2,064 Sq. Ft.","Nashville, TN, 37208"
506 American Rd,"$679,000",5 Beds,3 Baths,"1,891 Sq. Ft.","Nashville, TN, 37209"
6113 Pinehurst Drive,"$4,290,000",6 Beds,7 Baths,"7,151 Sq. Ft.","Nashville, TN, 37215"
1404 Wedgewood Ave,"$1,499,999",3 Beds,4 Baths,"2,700 Sq. Ft.","Nashville, TN, 37212"
102 Clydelan Ct,"$3,395,000",5 Beds,8 Baths,"5,369 Sq. Ft.","Nashville, TN, 37205"
4213B Farrar Ave,"$1,599,000",4 Beds,4 Baths,"3,800 Sq. Ft.","Nashville, TN, 37215"
456 Ewing Ln,"$479,500",3 Beds,2 Baths,"1,831 Sq. Ft.","Nashville, TN, 37207"
1013A Alice St,"$619,000",3 Beds,3 Baths,"2,040 Sq. Ft.","Nashville, TN, 37218"
1103 Caldwell Ave,"$2,495,000",5 Beds,6 Baths,"4,395 Sq. Ft.","Nashville, TN, 37204"
2813 Rural Hill Cir,"$410,000",4 Beds,3 Baths,"1,854 Sq. Ft.","Nashville, TN, 37217"
2123 Sharondale Dr,"$1,850,000",4 Beds,4 Baths,"4,264 Sq. Ft.","Nashville, TN, 37215"
6728 Sugar Hill Drive,"$579,000",3 Beds,3 Baths,"2,904 Sq. Ft.","Nashville, TN, 37211"
801 Beth Dr,"$577,900",5 Beds,3 Baths,"2,241 Sq. Ft.","Nashville, TN, 37206"
600 12th Ave S 1716,"$489,000",1 Bed,1 Bath,711 Sq. Ft.,"Nashville, TN, 37203"
1613 23rd Ave N,"$675,000",4 Beds,3 Baths,"2,687 Sq. Ft.","Nashville, TN, 37208"
825 N 5th St,"$720,000",4 Beds,3 Baths,"2,310 Sq. Ft.","Nashville, TN, 37207"
8262 Persia Way S,"$439,900",3 Beds,3 Baths,"1,727 Sq. Ft.","Nashville, TN, 37211"
4641 Mountainview Dr,"$684,999",4 Beds,3 Baths,"2,860 Sq. Ft.","Nashville, TN, 37215"
900 20th Ave S 1002,"$1,375,000",2 Beds,2 Baths,"1,825 Sq. Ft.","Nashville, TN, 37212"
9418 Highway 100,"$399,900",3 Beds,2 Baths,"1,696 Sq. Ft.","Nashville, TN, 37221"
500 Landmark Ct,"$465,000",2 Beds,3 Baths,"1,739 Sq. Ft.","Nashville, TN, 37211"
600 12th Ave S 1501,"$1,299,999",2 Beds,2 Baths,"1,250 Sq. Ft.","Nashville, TN, 37203"
1109 N 2nd St,"$375,000",2 Beds,1 Bath,"1,234 Sq. Ft.","Nashville, TN, 37207"
6149 Mt Pisgah Rd,"$1,290,000",4 Beds,4 Baths,"3,156 Sq. Ft.","Nashville, TN, 37211"
3041 Runabout Dr,"$550,000",9 Beds,4 Baths,"3,785 Sq. Ft.","Nashville, TN, 37217"
929 Taylor Merritt Ct,"$445,000",3 Beds,2 Baths,"1,188 Sq. Ft.","Nashville, TN, 37209"
525 Foundry Dr,"$419,000",3 Beds,1 Bath,,"Nashville, TN, 37209"
655 Hicks Rd,"$381,000",3 Beds,2 Baths,"1,600 Sq. Ft.","Nashville, TN, 37221"
6008 Hill Circle Drive,"$1,575,000",4 Beds,5 Baths,"3,366 Sq. Ft.","Nashville, TN, 37209"
203 Polk Ave,"$714,000",3 Beds,3 Baths,"2,532 Sq. Ft.","Nashville, TN, 37210"
4026 Ivy Dr,"$379,900",2 Beds,1 Bath,"1,347 Sq. Ft.","Nashville, TN, 37216"
1936 Deep Woods Trl,"$499,000",4 Beds,3 Baths,"2,926 Sq. Ft.","Nashville, TN, 37214"
1603A Porter Ave,"$699,900",3 Beds,3 Baths,"2,082 Sq. Ft.","Nashville, TN, 37206"
270 Tampa Dr J15,"$109,900",1 Bed,1 Bath,728 Sq. Ft.,"Nashville, TN, 37211"
1328 McAlpine Ave,"$750,000",3 Beds,1 Bath,"1,490 Sq. Ft.","Nashville, TN, 37216"
6048 Deal Ave,"$279,900",2 Beds,2 Baths,900 Sq. Ft.,"Nashville, TN, 37209"
1015 Aladdin Dr,"$299,900",2 Beds,2 Baths,"1,131 Sq. Ft.","Nashville, TN, 37217"
4718 Briarwood Dr,"$1,399,900",5 Beds,4 Baths,"3,349 Sq. Ft.","Nashville, TN, 37211"
3545 Dickerson Pike,"$950,000",1 Acres,,,"Nashville, TN, 37207"
730 29th Ave N,"$365,000",Studio,"1,380 Sq. Ft.",,"Nashville, TN, 37209"
2425 Herman St,"$540,000",0 Acres,,,"Nashville, TN, 37208"
3911 Albert Dr,"$3,690,000",5 Beds,6 Baths,"5,439 Sq. Ft.","Nashville, TN, 37204"
143 Fain St,"$425,000",0 Acres,,,"Nashville, TN, 37210"
4958 Edmondson Pike 8,"$204,000",2 Beds,2 Baths,"1,134 Sq. Ft.","Nashville, TN, 37211"
2056 Creekland View Blvd,"$419,990",3 Beds,3 Baths,"2,056 Sq. Ft.","Nashville, TN, 37207"
4689 Ridge Bend Dr,"$380,770",3 Beds,3 Baths,"1,400 Sq. Ft.","Nashville, TN, 37207"
181 Carnavon Pkwy,"$450,000",2.85 Acres,,,"Nashville, TN, 37205"
2807B Meadow Rose,"$799,000",4 Beds,3 Baths,"2,252 Sq. Ft.","Nashville, TN, 37206"
4515 Skywood Ln,"$377,590",3 Beds,3 Baths,"1,400 Sq. Ft.","Nashville, TN, 37207"
4517 Skywood Ln,"$375,090",3 Beds,3 Baths,"1,400 Sq. Ft.","Nashville, TN, 37207"
4508 Skywood Ln,"$371,090",3 Beds,3 Baths,"1,400 Sq. Ft.","Nashville, TN, 37207"
4695 Ridge Bend Dr,"$381,770",3 Beds,3 Baths,"1,400 Sq. Ft.","Nashville, TN, 37207"
5612 Morrow Rd,"$339,999",2 Beds,1 Bath,"1,100 Sq. Ft.","Nashville, TN, 37209"
2256 Creekland View Blvd,"$429,990",4 Beds,3 Baths,"2,256 Sq. Ft.","Nashville, TN, 37207"
1649 Creekland View Blvd,"$399,990",3 Beds,2 Baths,"1,649 Sq. Ft.","Nashville, TN, 37207"
2000 Creekland View Blvd,"$414,990",3 Beds,3 Baths,"2,000 Sq. Ft.","Nashville, TN, 37207"
1765 Creekland View Blvd,"$404,990",3 Beds,2 Baths,"1,765 Sq. Ft.","Nashville, TN, 37207"
940 Gale Ln 101,"$515,000",2 Beds,3 Baths,"1,438 Sq. Ft.","Nashville, TN, 37204"
432 Murfreesboro Pike 103,"$199,900",1 Bed,1 Bath,462 Sq. Ft.,"Nashville, TN, 37210"
4600 Georgia Ave,"$600,000",Studio,"1,431 Sq. Ft.",,"Nashville, TN, 37209"
1130 Thorncrest Rd,"$410,000",3 Beds,3 Baths,"1,638 Sq. Ft.","Nashville, TN, 37211"
623B James Ave,"$739,900",3 Beds,3 Baths,"1,998 Sq. Ft.","Nashville, TN, 37209"
1808 12th Ave N B,"$650,000",3 Beds,4 Baths,"1,968 Sq. Ft.","Nashville, TN, 37208"
274 Clovernook Dr,"$364,000",3 Beds,2 Baths,"1,550 Sq. Ft.","Nashville, TN, 37210"
160 2nd Ave S 4001,"$11,000,000",3 Beds,5 Baths,"3,970 Sq. Ft.","Nashville, TN, 37201"
1319 6th Ave N,"$1,200,000",2 Beds,1 Bath,"1,563 Sq. Ft.","Nashville, TN, 37208"
2405 Lloyd Ave,"$349,900",1.03 Acres,,,"Nashville, TN, 37218"
2601 Sunset Pl,"$890,000",3 Beds,3 Baths,"1,855 Sq. Ft.","Nashville, TN, 37212"
3437 White Pine Dr,"$375,000",3 Beds,2 Baths,"1,290 Sq. Ft.","Nashville, TN, 37214"
2420 Gardner Ln,"$499,000",2 Beds,1 Bath,966 Sq. Ft.,"Nashville, TN, 37207"
667 Huntington Pkwy,"$359,000",3 Beds,2 Baths,"1,943 Sq. Ft.","Nashville, TN, 37211"
2419 Eden St,"$315,000",2 Beds,3 Baths,"1,486 Sq. Ft.","Nashville, TN, 37208"
4317 Skyridge Dr,"$470,230",4 Beds,3 Baths,"1,934 Sq. Ft.","Nashville, TN, 37207"
233 Brevard Ct 233,"$288,000",4 Beds,2 Baths,"1,536 Sq. Ft.","Nashville, TN, 37211"
1710 Pecan Street A,"$600,000",4 Beds,3 Baths,"2,246 Sq. Ft.","Nashville, TN, 37208"
7204 S Colony Dr,"$539,900",3 Beds,3 Baths,"2,740 Sq. Ft.","Nashville, TN, 37221"
109 Porter Ter,"$425,000",2 Beds,3 Baths,"1,134 Sq. Ft.","Nashville, TN, 37206"
2315 Whites Creek Pike,"$1,450,000",1.37 Acres,,,"Nashville, TN, 37207"
500 40th Ave N,"$575,000",0.15 Acres,,,"Nashville, TN, 37209"
600 12th Ave S 2012,"$550,000",1 Bed,1 Bath,636 Sq. Ft.,"Nashville, TN, 37203"
3371 Mimosa Dr,"$625,000",3 Beds,3 Baths,"2,635 Sq. Ft.","Nashville, TN, 37211"
3227 W End Cir,"$319,000",2 Beds,1 Bath,972 Sq. Ft.,"Nashville, TN, 37203"
920 South Street 409,"$750,000",1 Bed,1 Bath,798 Sq. Ft.,"Nashville, TN, 37203"
2226A Fox Ave,"$249,900",0.13 Acres,,,"Nashville, TN, 37210"
2226B Fox Ave,"$249,900",0.13 Acres,,,"Nashville, TN, 37210"
4325 Ashland City Hwy 1,"$395,000",3 Beds,3 Baths,"1,518 Sq. Ft.","Nashville, TN, 37218"
140 Academy Sq,"$479,500",2 Beds,2 Baths,"1,110 Sq. Ft.","Nashville, TN, 37210"
500 Paragon Mills Rd M16,"$199,900",2 Beds,1 Bath,960 Sq. Ft.,"Nashville, TN, 37211"
3325 William Bailey Dr,"$449,900",3 Beds,3 Baths,"2,102 Sq. Ft.","Nashville, TN, 37207"
1980 Loney Dr,"$494,900",3 Beds,2 Baths,"1,836 Sq. Ft.","Nashville, TN, 37210"
239 Rep John Lewis Way N 308,"$335,900",1 Bed,1 Bath,690 Sq. Ft.,"Nashville, TN, 37219"
1045 Harold Dr,"$164,999",1 Bed,1 Bath,930 Sq. Ft.,"Nashville, TN, 37217"
