address,price_$,beds,bath,place,size_sq.ft
2920 Morningside Dr,590000,3.0,4.0,"Nashville, TN, 37207",1843.0
1517 Lone Oak Cir,4375000,5.0,9.0,"Nashville, TN, 37215",6857.0
2206 Monticello Dr,895000,0.61,,"Nashville, TN, 37207",
1102A Biltmore Dr,925000,4.0,4.0,"Nashville, TN, 37204",3017.0
1426 McGavock Pike,579000,4.0,2.0,"Nashville, TN, 37216",1918.0
1215 Villa Pl,750000,3.0,3.0,"Nashville, TN, 37212",1718.0
1010 Warren St W,650000,3.0,2.0,"Nashville, TN, 37208",1280.0
5602 Stoneway Trl,624900,3.0,2.0,"Nashville, TN, 37209",1444.0
2401 Hemingway Dr,1750000,2.0,2.0,"Nashville, TN, 37215",1360.0
3520 Golf St,493000,3.0,2.0,"Nashville, TN, 37216",1447.0
301A Fairfax Ave,849000,3.0,3.0,"Nashville, TN, 37212",2365.0
516 Richmar Dr,599000,3.0,2.0,"Nashville, TN, 37211",1816.0
6708 Boundary Run,469900,3.0,3.0,"Nashville, TN, 37221",1723.0
801 Millbrook Cir,625000,3.0,3.0,"Nashville, TN, 37221",2234.0
2025 Jones Cir,447500,3.0,2.0,"Nashville, TN, 37207",1086.0
2433 Fairbrook Dr,525000,3.0,3.0,"Nashville, TN, 37214",2088.0
1109 Jackson St,675000,3.0,3.0,"Nashville, TN, 37208",1904.0
100 Buena Vista Ct,420000,3.0,3.0,"Nashville, TN, 37218",2235.0
7 Peachtree,464900,,,"Nashville, TN, 37210",
400 Dawn Dr,365000,,,"Nashville, TN, 37211",
413 Vailview Dr,279900,,,"Nashville, TN, 37207",
1406 Pennock Ave,979000,4.0,5.0,"Nashville, TN, 37207",3400.0
1009A Alice St,749900,3.0,3.0,"Nashville, TN, 37218",2464.0
6311 James Ct,850000,4.0,4.0,"Nashville, TN, 37209",2420.0
5042 Hill Place Dr,4300000,5.0,6.0,"Nashville, TN, 37205",6298.0
2515 Sleepy Hollow Dr,699900,3.0,3.0,"Nashville, TN, 37217",2160.0
6309 James Ct,850000,4.0,4.0,"Nashville, TN, 37209",2420.0
1901B Warfield Dr,1250000,3.0,4.0,"Nashville, TN, 37215",2873.0
1803 Neal Ter,800000,5.0,4.0,"Nashville, TN, 37203",2398.0
2224 Lindell Ave,1100000,4.0,3.0,"Nashville, TN, 37204",2750.0
1600 Electric Ave,995000,4.0,4.0,"Nashville, TN, 37206",2202.0
213 Boxmere Pl,589000,2.0,3.0,"Nashville, TN, 37215",1463.0
4924 Clarksville Hwy,2100000,4.0,4.0,"Nashville, TN, 37189",5723.0
139 Kenner Ave,1049000,3.0,3.0,"Nashville, TN, 37205",2252.0
1320 McAlpine Ave,410000,2.0,1.0,"Nashville, TN, 37216",1540.0
2762 Rock Wall Rd,1295000,4.0,4.0,"Nashville, TN, 37221",4022.0
3590 Mayflower Pl,1200000,5.0,5.0,"Nashville, TN, 37204",3308.0
1903 10th Ave N A,639900,3.0,3.0,"Nashville, TN, 37208",2291.0
209 54th Ave N,1100000,4.0,4.0,"Nashville, TN, 37209",3162.0
1042 Mulberry Way,388900,3.0,2.0,"Nashville, TN, 37207",1324.0
420 Elysian Fields Rd A19,225000,2.0,2.0,"Nashville, TN, 37211",936.0
64 Fern Ave 2,699000,3.0,3.0,"Nashville, TN, 37207",1453.0
1706 Sweetbriar Ave,1895000,4.0,4.0,"Nashville, TN, 37212",3538.0
1616 West End Ave Unit 2104,1475000,2.0,3.0,"Nashville, TN, 37203",1412.0
2301 Pennington Bend Rd,1440000,4.0,4.0,"Nashville, TN, 37214",3200.0
618 Croley Drive,699900,3.0,4.0,"Nashville, TN, 37209",2080.0
3809 Burrus St,599900,3.0,2.0,"Nashville, TN, 37216",1700.0
5009 Darlington Dr,600000,3.0,2.0,"Nashville, TN, 37211",1834.0
520 Norton Ave,379000,3.0,1.0,"Nashville, TN, 37207",1164.0
4805 Churchwood Dr,4950000,5.0,8.0,"Nashville, TN, 37220",8713.0
213 3rd Ave N,16680000,11.0,11.0,"Nashville, TN, 37201",13909.0
305 Church St 304,1950000,2.0,4.0,"Nashville, TN, 37201",2904.0
821 Hillview Hts,2495000,4.0,5.0,"Nashville, TN, 37204",3765.0
6318 Edsel Dr,849900,4.0,4.0,"Nashville, TN, 37209",2443.0
6316 Edsel Dr,849900,4.0,4.0,"Nashville, TN, 37209",2443.0
2413 Solomon Ln,488000,4.0,3.0,"Nashville, TN, 37207",2080.0
1030 Hammack Ct,310000,3.0,2.0,"Nashville, TN, 37214",1724.0
106 Douglas Ave,799000,3.0,4.0,"Nashville, TN, 37207",2474.0
501 Summit St,875000,4.0,4.0,"Nashville, TN, 37209",2644.0
608 Annex Ave,6200000,,,"Nashville, TN, 37209",
501 Rural Hill Rd,379900,3.0,2.0,"Nashville, TN, 37217",1750.0
105 Autumn Leaves Ln,771000,4.0,3.0,"Nashville, TN, 37221",3993.0
949 Plateau Pkwy,849900,4.0,3.0,"Nashville, TN, 37205",2252.0
6620 Holt Rd,1100000,3.0,3.0,"Nashville, TN, 37211",3564.0
1612 Alayna Dr,650000,4.0,3.0,"Nashville, TN, 37221",2804.0
3048 Whitland Crossing Dr,380000,3.0,2.0,"Nashville, TN, 37214",1740.0
909 Beechmont Pl # B,900000,4.0,4.0,"Nashville, TN, 37206",2604.0
110 The Commons Dr,1800000,3.0,4.0,"Nashville, TN, 37215",4867.0
2028 Sunset Hills Ter,3390000,4.0,6.0,"Nashville, TN, 37215",7461.0
6712 Cold Stream Dr,525000,4.0,3.0,"Nashville, TN, 37221",2320.0
413 35th Ave N A,1036000,4.0,4.0,"Nashville, TN, 37209",2488.0
1309 Davidson St,450000,2.0,1.0,"Nashville, TN, 37206",750.0
700 Revels Dr,492000,4.0,3.0,"Nashville, TN, 37207",3023.0
2605 Woodberry Dr,545000,4.0,3.0,"Nashville, TN, 37214",1927.0
5821 Fredricksburg Dr,1295000,5.0,4.0,"Nashville, TN, 37215",3371.0
524 Huntington Ridge Dr,375000,3.0,3.0,"Nashville, TN, 37211",2288.0
775 Newberry Rd,2795000,5.0,6.0,"Nashville, TN, 37205",5710.0
7060 Bridgeport Drive,650000,4.0,4.0,"Nashville, TN, 37221",2274.0
512 Fairfax Ave,3600000,6.0,8.0,"Nashville, TN, 37212",7167.0
1423 Shelton Ave,799000,4.0,2.0,"Nashville, TN, 37216",2177.0
128 Sequoyah Ln,564900,3.0,3.0,"Nashville, TN, 37221",2228.0
4617 Churchwood Dr,1295000,2.0,2.0,"Nashville, TN, 37220",2576.0
487 Oakley Drive,1095000,5.0,3.0,"Nashville, TN, 37220",2716.0
913 S 14th St,584900,3.0,2.0,"Nashville, TN, 37206",1408.0
322 Sylvan Park Ln,679900,3.0,3.0,"Nashville, TN, 37209",1676.0
538B Moore Ave,899999,3.0,3.0,"Nashville, TN, 37203",2151.0
1452 Scarcroft Ln,589900,3.0,3.0,"Nashville, TN, 37221",2756.0
927B Gale Ln,1715000,4.0,4.0,"Nashville, TN, 37204",4090.0
1235A Battlefield Dr,1200000,4.0,4.0,"Nashville, TN, 37215",4000.0
1053 General George Patton Rd,355000,3.0,2.0,"Nashville, TN, 37221",1403.0
113 38th Ave N,1399000,4.0,3.0,"Nashville, TN, 37209",3039.0
131 Woodmont Blvd A,899000,4.0,4.0,"Nashville, TN, 37205",3512.0
165 Jefferson Sq,559000,3.0,3.0,"Nashville, TN, 37215",2495.0
6 Castlewood Ct,3399000,6.0,8.0,"Nashville, TN, 37215",7739.0
5065 English Village Dr,523000,4.0,4.0,"Nashville, TN, 37211",1865.0
2820 Mashburn Rd,475000,3.0,2.0,"Nashville, TN, 37210",1904.0
609 Hogan Rd,874000,3.0,2.0,"Nashville, TN, 37220",2435.0
631 Bristol Creek Dr,399000,2.0,3.0,"Nashville, TN, 37221",1152.0
210B Page Rd,1879000,4.0,5.0,"Nashville, TN, 37205",4122.0
5417 Cochran Dr,720000,4.0,3.0,"Nashville, TN, 37220",2886.0
3732 Central Ave,1390000,4.0,5.0,"Nashville, TN, 37205",3302.0
111 Glendale Garden Dr,875000,3.0,3.0,"Nashville, TN, 37204",2452.0
5806 Hillsboro Pike,3125000,5.0,5.0,"Nashville, TN, 37215",5365.0
5109 Trousdale Dr,700000,4.0,2.0,"Nashville, TN, 37220",2600.0
2826 Hartford Dr,699000,3.0,2.0,"Nashville, TN, 37210",1761.0
3435 Hopkins Street,2100000,5.0,7.0,"Nashville, TN, 37215",5912.0
5729 Stoneway Trl,999999,5.0,5.0,"Nashville, TN, 37209",4665.0
421A 35th Ave N Unit A,799000,3.0,4.0,"Nashville, TN, 37209",2556.0
2709 Glenoaks Dr,529900,4.0,3.0,"Nashville, TN, 37214",2686.0
604A Hume St,1265000,4.0,4.0,"Nashville, TN, 37208",2713.0
515 Basswood Ave E54,270000,2.0,1.0,"Nashville, TN, 37209",968.0
7005 Collinswood Dr,584900,4.0,3.0,"Nashville, TN, 37221",2549.0
817 3rd Ave N 401,425000,1.0,1.0,"Nashville, TN, 37201",850.0
3326 Goodland Rd,395000,2.0,1.0,"Nashville, TN, 37211",1344.0
1762 Hillmont Dr,4395000,5.0,7.0,"Nashville, TN, 37215",7461.0
1002B Woodmont Blvd,1695000,5.0,5.0,"Nashville, TN, 37204",4257.0
124 Cross Timbers Dr,395000,3.0,3.0,"Nashville, TN, 37221",1700.0
1101 18th Ave S 610,500000,2.0,2.0,"Nashville, TN, 37212",1257.0
1350 Rosa L Parks Blvd 351,525000,1.0,1.0,"Nashville, TN, 37208",931.0
5212A Michigan Ave,719900,3.0,3.0,"Nashville, TN, 37209",2196.0
1810 Northview Ave,584000,3.0,3.0,"Nashville, TN, 37216",1761.0
1130 Delmas Ave,500000,4.0,2.0,"Nashville, TN, 37216",1798.0
1021 Maplewood Pl,585000,3.0,3.0,"Nashville, TN, 37216",1838.0
308 Rose Hall,399000,2.0,2.0,"Nashville, TN, 37212",1250.0
110 31st Ave N 508,749900,2.0,2.0,"Nashville, TN, 37203",1889.0
1125 10th Ave N 306,675000,2.0,2.0,"Nashville, TN, 37208",1261.0
1407 Ardee Ave,379999,2.0,1.0,"Nashville, TN, 37216",902.0
4225 Harding Road 602,295000,1.0,1.0,"Nashville, TN, 37205",880.0
109 Peak Hill Cir,472900,3.0,2.0,"Nashville, TN, 37211",1559.0
5344 Hunters Rdg,379000,3.0,2.0,"Nashville, TN, 37211",1135.0
1007 Chicamauga Ave,425000,2.0,1.0,"Nashville, TN, 37206",831.0
1500 Lock Rd,4500000,1.0,2.0,"Nashville, TN, 37207",2226.0
3304A Curtis St,299000,2.0,1.0,"Nashville, TN, 37218",877.0
605A James Ave,699999,4.0,3.0,"Nashville, TN, 37209",2358.0
4209A Lone Oak Rd,1699000,4.0,3.0,"Nashville, TN, 37215",3696.0
1350 Rosa L Parks Blvd 333,399900,1.0,1.0,"Nashville, TN, 37208",672.0
700 Church St 808,398000,1.0,1.0,"Nashville, TN, 37203",744.0
2301 Alameda St,500000,3.0,2.0,"Nashville, TN, 37208",1260.0
511C Chesterfield Ave,739900,3.0,4.0,"Nashville, TN, 37212",1888.0
1737 Pecan St 4,865000,3.0,4.0,"Nashville, TN, 37208",1814.0
3242 Viking Road,419000,4.0,2.0,"Nashville, TN, 37218",1292.0
5313A Illinois Ave,749000,3.0,3.0,"Nashville, TN, 37209",2019.0
6114 Hill Cir,2350000,4.0,5.0,"Nashville, TN, 37209",4022.0
1616 West End Ave 3111,1150000,1.0,2.0,"Nashville, TN, 37203",1124.0
4005 Kennedy Ave,719997,4.0,3.0,"Nashville, TN, 37216",2000.0
1723 Kingsbury Dr,1095000,4.0,4.0,"Nashville, TN, 37215",3231.0
1009 Battery Ln,1750000,4.0,5.0,"Nashville, TN, 37220",3798.0
552 McMurray Dr,599900,5.0,3.0,"Nashville, TN, 37211",3538.0
3188 Robwood Dr,370000,3.0,2.0,"Nashville, TN, 37207",1175.0
200 Bermuda Dr,675000,3.0,2.0,"Nashville, TN, 37214",2596.0
5610 New York Ave,800000,4.0,3.0,"Nashville, TN, 37209",2660.0
1010 Monroe St,1500000,4.0,5.0,"Nashville, TN, 37208",3674.0
5208 Louisiana Ave,799900,3.0,3.0,"Nashville, TN, 37209",2248.0
3524B Sanford Ave,575000,3.0,3.0,"Nashville, TN, 37211",1960.0
2010 Cedar Ln A,1595000,4.0,5.0,"Nashville, TN, 37212",3511.0
323 Garfield St,999500,3.0,4.0,"Nashville, TN, 37208",2258.0
441 Belle Pointe Drive,525000,3.0,2.0,"Nashville, TN, 37221",2238.0
1820 16th Ave N B,515000,3.0,3.0,"Nashville, TN, 37208",1827.0
608 Clematis Dr,950000,4.0,4.0,"Nashville, TN, 37205",3786.0
3507 Wilbur Pl,949900,3.0,3.0,"Nashville, TN, 37204",2343.0
2609B Alpine Park Ave,695000,4.0,3.0,"Nashville, TN, 37218",2070.0
605 S 13th St,1585000,5.0,5.0,"Nashville, TN, 37206",3783.0
720 Croley Dr,672000,3.0,3.0,"Nashville, TN, 37209",1504.0
907 S 12th St,1799000,4.0,5.0,"Nashville, TN, 37206",3671.0
414 Munn Rd,1800000,2.88,,"Nashville, TN, 37214",
3020 Richmond Hill Dr,550000,4.0,3.0,"Nashville, TN, 37207",1873.0
7277 Charlotte Pike 308,415000,3.0,3.0,"Nashville, TN, 37209",1820.0
1001 Clifton Ln 6,480000,2.0,2.0,"Nashville, TN, 37204",1241.0
712 Harding Pl,539900,3.0,3.0,"Nashville, TN, 37211",1536.0
2110 Portland Ave 304,499900,2.0,1.0,"Nashville, TN, 37212",1082.0
3013 Medial Ave,3690000,6.0,8.0,"Nashville, TN, 37215",6236.0
2104 McKennie Ave,950000,5.0,3.0,"Nashville, TN, 37206",2895.0
940 Gale Ln,510000,2.0,2.0,"Nashville, TN, 37204",1144.0
0 Newsom Station Road,982350,21.8,,"Nashville, TN, 37221",
1320 Greenstone Ln,759000,5.0,4.0,"Nashville, TN, 37221",3665.0
517 Cinnamon Pl,500000,3.0,3.0,"Nashville, TN, 37211",2312.0
900 20th Ave S Apt 1005,649900,1.0,1.0,"Nashville, TN, 37212",1014.0
414B Scott Ave,749900,4.0,3.0,"Nashville, TN, 37206",2310.0
2201 Chickering Ln,3800000,4.0,6.0,"Nashville, TN, 37215",6355.0
1406B Holly St,750000,3.0,3.0,"Nashville, TN, 37206",2121.0
1102 Caldwell Ave,2000000,4.0,4.0,"Nashville, TN, 37204",3592.0
923C Gale Ln,1549000,4.0,4.0,"Nashville, TN, 37204",3581.0
918B Waldkirch Ave,1100000,3.0,4.0,"Nashville, TN, 37204",2616.0
2418 Abbott Martin Rd,569900,2.0,2.0,"Nashville, TN, 37215",1163.0
8319 Saint Danasus Dr,365000,2.0,3.0,"Nashville, TN, 37211",1296.0
108 Sugarbush Ct,565000,4.0,3.0,"Nashville, TN, 37211",2709.0
2418 Abbott Martin Rd B,569900,2.0,2.0,"Nashville, TN, 37215",1163.0
1808A Warfield Dr,1159000,4.0,4.0,"Nashville, TN, 37215",2692.0
1803 Broadway 630,595000,2.0,1.0,"Nashville, TN, 37203",1056.0
533 Northcrest Dr,484900,3.0,2.0,"Nashville, TN, 37211",2050.0
4034 Boyd Dr,499999,3.0,2.0,"Nashville, TN, 37218",2092.0
516B Snyder Ave,749900,3.0,3.0,"Nashville, TN, 37209",2161.0
3107B Hillside Rd,379900,3.0,1.0,"Nashville, TN, 37207",1324.0
1607 Northview Ave,420000,2.0,2.0,"Nashville, TN, 37216",1680.0
1212 Laurel St 2015,1400000,2.0,2.0,"Nashville, TN, 37203",1221.0
508 Hilson Ct,484900,3.0,2.0,"Nashville, TN, 37211",1920.0
509 Hilson Ct,484900,3.0,3.0,"Nashville, TN, 37211",2028.0
116 Windsor Dr,1499900,4.0,3.0,"Nashville, TN, 37205",3196.0
1516 Hamden Dr,389900,3.0,3.0,"Nashville, TN, 37211",1638.0
2624 Morganmeade Dr,493000,3.0,2.0,"Nashville, TN, 37216",1611.0
3428 Stokesmont Rd,2774900,4.0,5.0,"Nashville, TN, 37215",5703.0
358 Stephens Valley Blvd,1947975,4.0,5.0,"Nashville, TN, 37221",4073.0
803 Hillview Hts 204,375000,1.0,1.0,"Nashville, TN, 37204",418.0
900 20th Ave S 1403,725000,1.0,1.0,"Nashville, TN, 37212",1015.0
2860 Sugartree Rd,1475900,4.0,3.0,"Nashville, TN, 37215",3050.0
415 Church St,1095000,2.0,2.0,"Nashville, TN, 37219",1144.0
3617 Richland Ave,3999999,4.0,6.0,"Nashville, TN, 37205",6676.0
515 Church St 3011,1245500,2.0,2.0,"Nashville, TN, 37219",1055.0
2705 Mossdale Dr,379900,3.0,2.0,"Nashville, TN, 37217",1702.0
7434 George E Horn Rd,700000,4.0,4.0,"Nashville, TN, 37221",3364.0
925 Youngs Ln,699900,5.0,4.0,"Nashville, TN, 37207",4626.0
415 Church St 1714,1095000,2.0,2.0,"Nashville, TN, 37219",1144.0
1616 West End Avenue 2802,2795000,3.0,4.0,"Nashville, TN, 37203",1951.0
3703A Lealand Ln,1699999,4.0,5.0,"Nashville, TN, 37204",3749.0
303 Rose Hall,420000,2.0,2.0,"Nashville, TN, 37212",1250.0
919 Rodney Dr,600000,3.0,2.0,"Nashville, TN, 37205",1982.0
2911B Snowden Rd,1750000,4.0,5.0,"Nashville, TN, 37204",3815.0
2617 Ashwood Ave,1950000,5.0,4.0,"Nashville, TN, 37212",4146.0
1018 W Grove Ave,948000,4.0,4.0,"Nashville, TN, 37203",2909.0
1440 Beddington Park,2099900,4.0,4.0,"Nashville, TN, 37215",4227.0
3509 Geneva Cir,995000,5.0,3.0,"Nashville, TN, 37209",3827.0
555 Church N 2401,895000,2.0,2.0,"Nashville, TN, 37219",1353.0
1062 General George Patton Rd,439000,3.0,3.0,"Nashville, TN, 37221",1944.0
4 Peach Blossom Sq,1385000,3.0,3.0,"Nashville, TN, 37205",3480.0
409 Patterson St,650000,4.0,3.0,"Nashville, TN, 37211",2350.0
415 Church St 2812,969999,2.0,2.0,"Nashville, TN, 37219",1083.0
258 Ocala Dr,470000,4.0,2.0,"Nashville, TN, 37211",2100.0
1807B 5th Ave N,899999,3.0,4.0,"Nashville, TN, 37208",2140.0
1111 Porter Rd,599900,3.0,1.0,"Nashville, TN, 37206",1716.0
4226 Hillsboro Pike,475000,2.0,3.0,"Nashville, TN, 37215",1338.0
8334 Merrymount Dr,799900,5.0,3.0,"Nashville, TN, 37221",3254.0
2316 Alameda St,630000,2.0,2.0,"Nashville, TN, 37208",1053.0
2510 Belmont Blvd,2700000,6.0,6.0,"Nashville, TN, 37212",4821.0
7544 Old Harding Pike,2190000,4.0,6.0,"Nashville, TN, 37221",6786.0
441 Caledonian Ct,995000,4.0,3.0,"Nashville, TN, 37211",3414.0
993 Windrowe Dr,599900,4.0,3.0,"Nashville, TN, 37205",1980.0
517 Bismark Dr,500000,3.0,2.0,"Nashville, TN, 37210",1254.0
672B Annex Ave,715000,4.0,3.0,"Nashville, TN, 37209",2208.0
1707 6th Ave N A,799000,4.0,3.0,"Nashville, TN, 37208",2276.0
6040 Woodland Hills Dr,974900,7.0,6.0,"Nashville, TN, 37211",4678.0
1212 Laurel St 1013,1295000,2.0,2.0,"Nashville, TN, 37203",1172.0
4810 Merrill Ln,598000,4.0,2.0,"Nashville, TN, 37211",2268.0
1929 20th Ave,1650000,4.0,4.0,"Nashville, TN, 37212",4669.0
1929 20th Ave S,1650000,4.0,4.0,"Nashville, TN, 37212",4669.0
1723 Underwood St,615000,4.0,3.0,"Nashville, TN, 37208",2216.0
3415 West End Ave Apt 1102D,255500,1.0,1.0,"Nashville, TN, 37203",755.0
1319 Lischey Ave,1185000,5.0,4.0,"Nashville, TN, 37207",3565.0
107 Stoneway Close,713000,4.0,3.0,"Nashville, TN, 37209",2387.0
4400 Belmont Park Ter 222,688222,3.0,3.0,"Nashville, TN, 37215",2250.0
1041 E Trinity Ln 315,333999,1.0,1.0,"Nashville, TN, 37216",816.0
5317 Windypine Dr,549000,5.0,4.0,"Nashville, TN, 37211",2943.0
814 Dewees Ave B,1699999,5.0,5.0,"Nashville, TN, 37204",3573.0
902 Bracken Trl,375000,3.0,3.0,"Nashville, TN, 37214",1688.0
443A Annex Ave,699900,3.0,3.0,"Nashville, TN, 37209",2354.0
2905 Harbour View Drive,399500,3.0,3.0,"Nashville, TN, 37217",2247.0
5416 Anchorage Dr,875000,3.0,3.0,"Nashville, TN, 37220",2700.0
1510 Demonbreun St Apt 606,415000,1.0,1.0,"Nashville, TN, 37203",854.0
110 31st Ave N 603,675000,2.0,2.0,"Nashville, TN, 37203",1845.0
2405 Chapman Dr B,1059000,5.0,4.0,"Nashville, TN, 37206",2731.0
1613B Glen Echo Rd,1149990,3.0,4.0,"Nashville, TN, 37215",3107.0
309 Lutie St,615000,3.0,3.0,"Nashville, TN, 37210",2168.0
9 Middleton Park Lane,1998800,5.0,6.0,"Nashville, TN, 37215",5422.0
818 Neartop Dr,775000,3.0,2.0,"Nashville, TN, 37205",2234.0
1732 Pecan St A,525000,3.0,3.0,"Nashville, TN, 37208",1598.0
415 Hill Rd,420000,4.0,3.0,"Nashville, TN, 37220",2172.0
5406 Burgess Ave,374900,2.0,1.0,"Nashville, TN, 37209",800.0
3208A Resha Ln,799999,4.0,3.0,"Nashville, TN, 37218",2363.0
2420 Solomon Ln,450000,4.0,3.0,"Nashville, TN, 37207",1680.0
615 Old Hickory Blvd 630,400990,2.0,3.0,"Nashville, TN, 37209",1209.0
2519 Clifton Ave 202,425000,1.0,1.0,"Nashville, TN, 37209",665.0
110 31st Ave,775000,2.0,2.0,"Nashville, TN, 37203",1889.0
4231 Franklin Pike,10900000,6.0,7.0,"Nashville, TN, 37204",8700.0
1256 McAlpine Ave,475000,3.0,2.0,"Nashville, TN, 37216",1197.0
110 31st Ave N 604,775000,2.0,2.0,"Nashville, TN, 37203",1889.0
1041 E Trinity Ln 301,349900,1.0,1.0,"Nashville, TN, 37216",770.0
3851 Saunders Ave,475000,3.0,1.0,"Nashville, TN, 37216",1540.0
6942 Highland Park Dr,389900,3.0,3.0,"Nashville, TN, 37205",1884.0
2936 Torbett St,485000,,,"Nashville, TN, 37209",
2940 Torbett St,485000,,,"Nashville, TN, 37209",
442 Thunderbird Ct,400000,4.0,2.0,"Nashville, TN, 37209",1838.0
5821 Robert E Lee Dr,1300000,5.0,4.0,"Nashville, TN, 37215",4088.0
105 Leake Ave 56,925000,3.0,3.0,"Nashville, TN, 37205",2719.0
3415 West End Ave 1103,330000,2.0,2.0,"Nashville, TN, 37203",1103.0
1105 Woodbury Falls Ct,399900,2.0,4.0,"Nashville, TN, 37221",2009.0
3317 Walton Ln,619000,3.0,3.0,"Nashville, TN, 37216",1849.0
623A James Ave,739900,3.0,3.0,"Nashville, TN, 37209",1998.0
1824 6th Ave N,750000,3.0,3.0,"Nashville, TN, 37208",2128.0
3720 Woodmont Ln,1280000,3.0,3.0,"Nashville, TN, 37215",2276.0
3612A West End Ave,1995000,4.0,6.0,"Nashville, TN, 37205",4763.0
4913 Millerwood Dr,685000,4.0,2.0,"Nashville, TN, 37211",2215.0
2601 Aspen Dr,359900,3.0,2.0,"Nashville, TN, 37208",1293.0
220 Porter Village Cir,525000,2.0,4.0,"Nashville, TN, 37206",1216.0
2926 Glenmeade Dr,475000,4.0,4.0,"Nashville, TN, 37216",2031.0
2609 Landcrest Ct,615000,4.0,5.0,"Nashville, TN, 37213",3102.0
991 Davidson Dr,520000,3.0,2.0,"Nashville, TN, 37205",1165.0
1709 Long Ave A,1049900,3.0,3.0,"Nashville, TN, 37206",2501.0
2601 Hillsboro Pike N1,290000,2.0,1.0,"Nashville, TN, 37212",880.0
5025 Inglewood Ct E,549999,3.0,2.0,"Nashville, TN, 37216",1600.0
2609 Alameda St,619000,4.0,3.0,"Nashville, TN, 37208",2100.0
105 Leake Ave,550000,2.0,2.0,"Nashville, TN, 37205",1518.0
652A Vernon Ave,884900,3.0,4.0,"Nashville, TN, 37209",2447.0
1722 7th Ave N,900000,3.0,3.0,"Nashville, TN, 37208",1851.0
165 Hicks Rd 11,394900,3.0,4.0,"Nashville, TN, 37221",2015.0
900 20th Ave S 1212,584900,1.0,1.0,"Nashville, TN, 37212",808.0
224 Joyner Ave,425000,4.0,2.0,"Nashville, TN, 37210",1328.0
608 Annex Ave A,769900,4.0,4.0,"Nashville, TN, 37209",2446.0
937 W Greenwood Ave,360000,6.0,3.0,"Nashville, TN, 37206",1482.0
2900 Primrose Cir,1083390,3.0,3.0,"Nashville, TN, 37212",2211.0
224 Stonecrest Circle 122,589900,2.0,4.0,"Nashville, TN, 37209",2017.0
6357 Alamo Pl,499000,3.0,2.0,"Nashville, TN, 37209",2590.0
217 2nd Ave N,8500000,2.0,6.0,"Nashville, TN, 37201",9217.0
5045 N Hilson Dr,509900,4.0,2.0,"Nashville, TN, 37211",1625.0
1225 McAlpine Ave,715000,4.0,3.0,"Nashville, TN, 37216",2060.0
510 Basswood Ave 11,279900,2.0,2.0,"Nashville, TN, 37209",1170.0
3947 Crouch Dr,299900,3.0,1.0,"Nashville, TN, 37207",1100.0
806 Olympic St 306,515000,1.0,1.0,"Nashville, TN, 37203",969.0
1012 Douglas Ave,499000,3.0,3.0,"Nashville, TN, 37206",1982.0
4225 Longfellow Dr,479718,3.0,3.0,"Nashville, TN, 37214",1910.0
2236 Lindell Ave,1100000,4.0,3.0,"Nashville, TN, 37204",2750.0
835 Russleo Dr,618000,3.0,2.0,"Nashville, TN, 37209",1524.0
914 Thomas Ave,469900,2.0,1.0,"Nashville, TN, 37216",871.0
119 Acklen Park Dr 103,929900,3.0,3.0,"Nashville, TN, 37203",1625.0
1616 West End Ave 2704,1450000,2.0,3.0,"Nashville, TN, 37203",1412.0
42 E Thompson Ln,479000,3.0,2.0,"Nashville, TN, 37211",2305.0
987 Windrowe Dr,725000,3.0,3.0,"Nashville, TN, 37205",2077.0
3116 Cloverwood Dr,450000,3.0,2.0,"Nashville, TN, 37214",1640.0
515 Basswood Ave 108,212333,1.0,1.0,"Nashville, TN, 37209",703.0
6107 Hill Cir,1424500,4.0,5.0,"Nashville, TN, 37209",3442.0
1815 4th Ave N,1399000,4.0,4.0,"Nashville, TN, 37208",3940.0
4849 Lynn Dr,559999,3.0,2.0,"Nashville, TN, 37211",1408.0
199 53rd Ave N,704900,2.0,1.0,"Nashville, TN, 37209",750.0
818 2nd St N,591000,3.0,3.0,"Nashville, TN, 37207",1556.0
833 Rose Park Dr,589000,3.0,2.0,"Nashville, TN, 37206",2240.0
1220 Alfred Dr,679900,3.0,2.0,"Nashville, TN, 37205",1799.0
1127 McChesney Ave,925000,3.0,2.0,"Nashville, TN, 37216",2030.0
938A Spain Ave,585000,3.0,3.0,"Nashville, TN, 37216",1830.0
3244 Cloverwood Dr,362000,3.0,2.0,"Nashville, TN, 37214",1125.0
904 S 13th St,1399000,4.0,4.0,"Nashville, TN, 37206",3042.0
808 31st Ave N,499000,,,"Nashville, TN, 37209",
3210 Orleans Dr 1,265000,2.0,1.0,"Nashville, TN, 37212",840.0
1817 Tyne Blvd,5990000,3.0,5.0,"Nashville, TN, 37215",5810.0
839B Dewees Ave,1100000,4.0,4.0,"Nashville, TN, 37204",2373.0
118 Cedar Place Bend,539400,3.0,3.0,"Nashville, TN, 37221",2627.0
1820A 16th Ave N,515000,3.0,3.0,"Nashville, TN, 37208",1827.0
34 Shepard St,564900,3.0,2.0,"Nashville, TN, 37210",1396.0
510 Basswood Ave #8,259900,2.0,2.0,"Nashville, TN, 37209",1200.0
916A 15th Ave S,1275000,4.0,4.0,"Nashville, TN, 37212",2816.0
65 Lindsley Ave 210,594500,1.0,1.0,"Nashville, TN, 37210",585.0
555 Church St 2306,2800000,3.0,4.0,"Nashville, TN, 37219",3077.0
