address,price_$,beds,bath,place,size_sq.ft
1091 Ember Dr,225000,2.0,2.0,"Adams, WI, 53910",1056.0
L15 Timber Bay Ave,65000,1.88,,"Adams, WI, 53934",
16th Dr,68900,3.12,,"Adams, WI, 53910",
1382 Edgewood Dr,149900,4.0,2.0,"Adams, WI, 53910",2052.0
2848 Hwy 13,174900,2.0,1.0,"Adams, WI, 53910",2104.0
974 County Road E,139900,3.0,1.0,"Adams, WI, 53910",1258.0
209 N Pine St,64900,2.0,1.0,"Adams, WI, 53910",576.0
333 S Walker St,229900,4.0,2.0,"Adams, WI, 53910",3283.0
2731 9th Dr,499900,3.0,2.0,"Adams, WI, 53910",2128.0
332 S Pierce St,199900,3.0,1.0,"Adams, WI, 53910",1276.0
1199 Fawn Dr,64900,1.0,,"Adams, WI, 53936",
N7160 Waters Edge Rd,99500,1.84,,"Adams, WI, 54615",
2285 11th Ave,469900,2.0,2.0,"Adams, WI, 53910",1400.0
225 S Linden St,43500,3.0,1.0,"Adams, WI, 53910",1176.0
164 S Walker St,63800,1.0,1.0,"Adams, WI, 53910",576.0
16th Dr,68900,3.12,,"Adams, WI, 53910",
2640 14th Ct,52900,5.5,,"Adams, WI, 53910",
1378 Dyke Dr,749900,3.0,2.0,"Adams, WI, 53910",
L21 N Duck Creek Ct,25000,0.52,,"Adams, WI, 53910",
814 Elk Ave,259000,35.0,,"Adams, WI, 53910",
Lot 38 Timber Bay Ave,57000,1.72,,"Adams, WI, 53934",
900 20th Ave S 1410,725000,1.0,1.0,"Nashville, TN, 37212",1276.0
1260 Martin St 409,524500,2.0,2.0,"Nashville, TN, 37203",1125.0
7478 River Road Pike,1750000,3.0,4.0,"Nashville, TN, 37209",4175.0
5922B Carl Pl,640000,3.0,3.0,"Nashville, TN, 37209",1980.0
2308B Lloyd Ave,499900,3.0,3.0,"Nashville, TN, 37218",1853.0
834 Woodmont Blvd,749000,3.0,2.0,"Nashville, TN, 37204",1680.0
805 Cherokee Ave 4,469900,2.0,3.0,"Nashville, TN, 37207",1100.0
805 Cherokee Ave 3,469900,2.0,3.0,"Nashville, TN, 37207",1100.0
1104B Cecilia Ave,865000,4.0,4.0,"Nashville, TN, 37208",2792.0
5812 Woodland Hills Dr,1799000,5.0,5.0,"Nashville, TN, 37211",5063.0
3101 Lumberjack Rd,450000,4.0,4.0,"Nashville, TN, 37214",2372.0
1915A 15th Ave N,629900,4.0,3.0,"Nashville, TN, 37208",2055.0
4001 Anderson Rd H43,275000,3.0,2.0,"Nashville, TN, 37217",1583.0
805 Cherokee Ave 5,469900,2.0,3.0,"Nashville, TN, 37207",1100.0
217 Andover Way,780000,3.0,3.0,"Nashville, TN, 37221",3167.0
271 Garry Dr,285000,3.0,1.0,"Nashville, TN, 37211",1014.0
4401 Kentucky Ave,9000000,,,"Nashville, TN, 37209",
0 Whipple Place,150000,1.0,,"Nashville, TN, 37214",
4405 Kentucky Ave,8000000,,,"Nashville, TN, 37209",
5414 Tennessee Ave,579900,0.0,,"Nashville, TN, 37209",
331 Lawndale,899900,4.0,3.0,"Nashville, TN, 37217",2495.0
574 Harpeth Bend Dr,289000,2.0,2.0,"Nashville, TN, 37221",960.0
4102 Granny White Pike Ab,2000000,5.0,4.0,"Nashville, TN, 37204",3003.0
0 Whitsett,2200000,2.02,,"Nashville, TN, 37210",
0 Tuggle Ave,720000,1.64,,"Nashville, TN, 37211",
1604 E Stewarts Ln E,299900,0.52,,"Nashville, TN, 37218",
